model,dtype,brand,brand_title,code,code_alias,model_name,ver_name,source_file
A1660,mob,apple,Apple,D10AP,"iPhone9,1",iPhone 7,,apple_all
A1779,mob,apple,Apple,D10AP,"iPhone9,1",iPhone 7,日本,apple_all
A1780,mob,apple,Apple,D10AP,"iPhone9,1",iPhone 7,中国移动,apple_all
A1778,mob,apple,Apple,D101AP,"iPhone9,3",iPhone 7,GSM,apple_all
A1661,mob,apple,Apple,D11AP,"iPhone9,2",iPhone 7 Plus,,apple_all
A1785,mob,apple,Apple,D11AP,"iPhone9,2",iPhone 7 Plus,日本,apple_all
A1786,mob,apple,Apple,D11AP,"iPhone9,2",iPhone 7 Plus,中国移动,apple_all
A1784,mob,apple,Apple,D111AP,"iPhone9,4",iPhone 7 Plus,GSM,apple_all
A1863,mob,apple,Apple,D20AP,"iPhone10,1",iPhone 8,,apple_all
A1906,mob,apple,Apple,D20AP,"iPhone10,1",iPhone 8,日本,apple_all
A1907,mob,apple,Apple,D20AP,"iPhone10,1",iPhone 8,中国移动,apple_all
A1905,mob,apple,Apple,D201AP,"iPhone10,4",iPhone 8,GSM,apple_all
A1864,mob,apple,Apple,D21AP,"iPhone10,2",iPhone 8 Plus,,apple_all
A1898,mob,apple,Apple,D21AP,"iPhone10,2",iPhone 8 Plus,日本,apple_all
A1899,mob,apple,Apple,D21AP,"iPhone10,2",iPhone 8 Plus,中国移动,apple_all
A1897,mob,apple,Apple,D211AP,"iPhone10,5",iPhone 8 Plus,GSM,apple_all
A1865,mob,apple,Apple,D22AP,"iPhone10,3",iPhone X,,apple_all
A1902,mob,apple,Apple,D22AP,"iPhone10,3",iPhone X,日本,apple_all
A1903,mob,apple,Apple,D22AP,"iPhone10,3",iPhone X,中国移动,apple_all
A1901,mob,apple,Apple,D221AP,"iPhone10,6",iPhone X,GSM,apple_all
A1920,mob,apple,Apple,D321AP,"iPhone11,2",iPhone XS,北美，港澳,apple_all
A2097,mob,apple,Apple,D321AP,"iPhone11,2",iPhone XS,GSM,apple_all
A2098,mob,apple,Apple,D321AP,"iPhone11,2",iPhone XS,日本,apple_all
A2100,mob,apple,Apple,D321AP,"iPhone11,2",iPhone XS,中国大陆,apple_all
A2099,mob,apple,Apple,D321AP,"iPhone11,2",iPhone XS,中国移动,apple_all
A1921,mob,apple,Apple,D331pAP,"iPhone11,6",iPhone XS Max,北美,apple_all
A2101,mob,apple,Apple,D331pAP,"iPhone11,6",iPhone XS Max,GSM,apple_all
A2102,mob,apple,Apple,D331pAP,"iPhone11,6",iPhone XS Max,日本,apple_all
A2104,mob,apple,Apple,D331pAP,"iPhone11,6",iPhone XS Max,中国大陆 & 港澳,apple_all
A2103,mob,apple,Apple,D331AP,"iPhone11,4",iPhone XS Max,中国移动,apple_all
A1984,mob,apple,Apple,N841AP,"iPhone11,8",iPhone XR,北美,apple_all
